CN,DESCRIPTION,UNITS,CAT,SCAT,R,THETA,Z,SPAN,DPITCH,EGVPITCH
P1303,Inlet hub static pressure,PSIA,AERO,PS,3.5,315.0,-10.340000000000002,0.0,,
P1304,Inlet hub static pressure,PSIA,AERO,PS,3.5,315.0,-9.52,0.0,,
P1305,Inlet hub static pressure,PSIA,AERO,PS,3.45,315.0,-8.17,0.0,,
P1306,Inlet hub static pressure,PSIA,AERO,PS,3.18,315.0,-7.010000000000002,0.0,,
P1307,Inlet hub static pressure,PSIA,AERO,PS,2.78,315.0,-5.800000000000001,0.0,,
P1308,Inlet hub static pressure,PSIA,AERO,PS,2.253,315.0,-3.584000000000001,0.0,,
P1309,Inlet hub static pressure,PSIA,AERO,PS,2.0,315.0,-2.549000000000001,0.0,,
P1310,Inlet hub static pressure,PSIA,AERO,PS,1.58,315.0,-1.5870000000000006,0.0,,
P1401,Inlet hub static pressure,PSIA,AERO,PS,3.5,135.0,-12.73,0.0,,
P1402,Inlet hub static pressure,PSIA,AERO,PS,3.5,135.0,-11.340000000000002,0.0,,
P1403,Inlet hub static pressure,PSIA,AERO,PS,3.5,135.0,-10.340000000000002,0.0,,
P1404,Inlet hub static pressure,PSIA,AERO,PS,3.5,135.0,-9.52,0.0,,
P1405,Inlet hub static pressure,PSIA,AERO,PS,3.45,135.0,-8.17,0.0,,
P1406,Inlet hub static pressure,PSIA,AERO,PS,3.18,135.0,-7.010000000000002,0.0,,
P1407,Inlet hub static pressure,PSIA,AERO,PS,2.78,135.0,-5.800000000000001,0.0,,
P1408,Inlet hub static pressure,PSIA,AERO,PS,2.253,135.0,-3.584000000000001,0.0,,
P1409,Inlet hub static pressure,PSIA,AERO,PS,2.0,135.0,-2.549000000000001,0.0,,
P1410,Inlet hub static pressure,PSIA,AERO,PS,1.58,135.0,-1.5870000000000006,0.0,,
P2101,Impeller shroud static pressure,PSIA,AERO,PS,4.267788,32.0,0.150251,100.0,,
P2102,Impeller shroud static pressure,PSIA,AERO,PS,4.300245,32.0,0.398126,100.0,,
P2103,Impeller shroud static pressure,PSIA,AERO,PS,4.340047,32.0,0.644926,100.0,,
P2104,Impeller shroud static pressure,PSIA,AERO,PS,4.441502,32.0,1.134439,100.0,,
P2105,Impeller shroud static pressure,PSIA,AERO,PS,4.742573,32.0,2.087068,100.0,,
P2106,Impeller shroud static pressure,PSIA,AERO,PS,5.2068,32.0,2.970658,100.0,,
P2107,Impeller shroud static pressure,PSIA,AERO,PS,5.868979,32.0,3.715675,100.0,,
P2108,Impeller shroud static pressure,PSIA,AERO,PS,6.715517,32.0,4.241559,100.0,,
P2109,Impeller shroud static pressure,PSIA,AERO,PS,7.669782,32.0,4.533743,100.0,,
P2110,Impeller shroud static pressure,PSIA,AERO,PS,8.163219,32.0,4.613856,100.0,,
P2111,Impeller shroud static pressure,PSIA,AERO,PS,8.421335,32.0,4.645,100.0,,
P2201,Impeller shroud static pressure,PSIA,AERO,PS,4.267788,212.0,0.150251,100.0,,
P2202,Impeller shroud static pressure,PSIA,AERO,PS,4.300245,212.0,0.398126,100.0,,
P2203,Impeller shroud static pressure,PSIA,AERO,PS,4.340047,212.0,0.644926,100.0,,
P2204,Impeller shroud static pressure,PSIA,AERO,PS,4.441502,212.0,1.134439,100.0,,
P2205,Impeller shroud static pressure,PSIA,AERO,PS,4.742573,212.0,2.087068,100.0,,
P2206,Impeller shroud static pressure,PSIA,AERO,PS,5.2068,212.0,2.970658,100.0,,
P2207,Impeller shroud static pressure,PSIA,AERO,PS,5.868979,212.0,3.715675,100.0,,
P2208,Impeller shroud static pressure,PSIA,AERO,PS,6.715517,212.0,4.241559,100.0,,
P2209,Impeller shroud static pressure,PSIA,AERO,PS,7.669782,212.0,4.533743,100.0,,
P2210,Impeller shroud static pressure,PSIA,AERO,PS,8.163219,212.0,4.613856,100.0,,
P2211,Impeller shroud static pressure,PSIA,AERO,PS,8.421335,212.0,4.645,100.0,,
P2400,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.498995406517173,341.32179160628124,4.6535,100.0,0.6766200348958289,
P2401,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.499011374271717,338.3213528179747,4.6535,100.0,84.00751565541498,
P2402,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.498969363987612,335.3215918237943,4.6535,100.0,67.34217679885717,
P2403,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.498978715704611,332.3211166054675,4.6535,100.0,50.67287003037519,
P2404,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.499039028031346,329.3212936474346,4.6535,100.0,34.007186930192134,
P2405,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.499029714032067,326.32129574149207,4.6535,100.0,17.340531897178202,
P2406,Impeller trailing edge shroud static pressure,PSIA,AERO,PS,8.499045921160798,323.3213823368814,4.6535,100.0,0.6743463160079146,
P2601,Impeller backplate static pressure,PSIA,AERO,PS,4.247,174.0,,,,
P2602,Impeller backplate static pressure,PSIA,AERO,PS,5.096,174.0,,,,
P2603,Impeller backplate static pressure,PSIA,AERO,PS,5.946,174.0,,,,
P2604,Impeller backplate static pressure,PSIA,AERO,PS,6.795,174.0,,,,
P2605,Impeller backplate static pressure,PSIA,AERO,PS,7.645,174.0,,,,
P2701,Impeller backplate static pressure,PSIA,AERO,PS,4.247,354.0,,,,
P2702,Impeller backplate static pressure,PSIA,AERO,PS,5.096,354.0,,,,
P2703,Impeller backplate static pressure,PSIA,AERO,PS,5.946,354.0,,,,
P2704,Impeller backplate static pressure,PSIA,AERO,PS,6.795,354.0,,,,
P2705,Impeller backplate static pressure,PSIA,AERO,PS,7.645,354.0,,,,
P3101,Vaneless space shroud static pressure,PSIA,AERO,PS,8.803717856678507,341.3211856962622,4.6855,100.0,0.6732538681234246,
P3102,Vaneless space shroud static pressure,PSIA,AERO,PS,8.803636140254776,338.32164529964325,4.6855,100.0,84.00914055357369,
P3103,Vaneless space shroud static pressure,PSIA,AERO,PS,8.803644610046454,335.3211505074401,4.6855,100.0,67.33972504133399,
P3104,Vaneless space shroud static pressure,PSIA,AERO,PS,8.8037107273013,332.3213371124223,4.6855,100.0,50.67409506901299,
P3105,Vaneless space shroud static pressure,PSIA,AERO,PS,8.803653664246452,329.3216800780543,4.6855,100.0,34.00933376696855,
P3106,Vaneless space shroud static pressure,PSIA,AERO,PS,8.803657650090672,326.32145425288576,4.6855,100.0,17.34141251603205,
P3107,Vaneless space shroud static pressure,PSIA,AERO,PS,8.803670618554513,323.3217872976646,4.6855,100.0,0.6765960981368835,
P3200,Diffuser shroud static pressure,PSIA,AERO,PS,9.193829584019928,323.33132245932967,4.7901,100.0,,
P3201,Diffuser shroud static pressure,PSIA,AERO,PS,9.104480007666556,323.1970854392262,4.7053,100.0,99.98380799570126,
P3202,Diffuser shroud static pressure,PSIA,AERO,PS,9.026284463720383,323.50121882815563,4.7014,100.0,,
P3203,Diffuser shroud static pressure,PSIA,AERO,PS,9.00566303222589,324.0702464517269,4.7002,100.0,,
P3204,Diffuser shroud static pressure,PSIA,AERO,PS,9.038250676983903,325.3234039739684,4.702,100.0,,
P3205,Diffuser shroud static pressure,PSIA,AERO,PS,9.075129718632123,326.5669675368813,4.7038,100.0,,
P3206,Diffuser shroud static pressure,PSIA,AERO,PS,9.107992899096924,327.56340374783946,4.7054,100.0,24.2411319324415,
P3207,Diffuser shroud static pressure,PSIA,AERO,PS,9.357982804536457,333.30369252427647,4.7147,100.0,,
P3208,Diffuser shroud static pressure,PSIA,AERO,PS,9.60801566245601,337.43979827613146,4.7207,100.0,,
P3209,Diffuser shroud static pressure,PSIA,AERO,PS,9.857943425481809,340.77761354104564,4.7238,100.0,,
P3210,Diffuser shroud static pressure,PSIA,AERO,PS,10.107982078041095,343.6083276965888,4.7246,100.0,,
P3211,Diffuser shroud static pressure,PSIA,AERO,PS,10.60803635928912,348.2789950252982,4.7241,100.0,,
P3212,Diffuser shroud static pressure,PSIA,AERO,PS,11.254348683508969,351.18010029841383,4.7348,100.0,,
P3213,Diffuser shroud static pressure,PSIA,AERO,PS,9.026242228635349,341.50106533013684,4.7014,100.0,,
P3214,Diffuser shroud static pressure,PSIA,AERO,PS,9.104494204512406,341.19697012696673,4.7053,100.0,99.98316737203746,
P3215,Diffuser shroud static pressure,PSIA,AERO,PS,9.193826163790566,341.33129291262986,4.7091,100.0,,
P3216,Diffuser shroud static pressure,PSIA,AERO,PS,9.242247720657568,341.8158794665804,4.7109,100.0,,
P3217,Diffuser shroud static pressure,PSIA,AERO,PS,9.261254070588928,342.42440541936145,4.7116,100.0,,
P3218,Diffuser shroud static pressure,PSIA,AERO,PS,9.281298954349008,343.02975354992714,4.7123,100.0,,
P3219,Diffuser shroud static pressure,PSIA,AERO,PS,9.324476231939247,344.23230692087606,4.7137,100.0,,
P3220,Diffuser shroud static pressure,PSIA,AERO,PS,9.607932088123851,350.1917512306528,4.7207,100.0,,
P3221,Diffuser shroud static pressure,PSIA,AERO,PS,9.857916246854606,354.0334197106018,4.7238,100.0,,
P3222,Diffuser shroud static pressure,PSIA,AERO,PS,10.108021397385343,357.18934614344664,4.7246,100.0,,
P3223,Diffuser shroud static pressure,PSIA,AERO,PS,10.60799637301974,2.266071637234461,4.7241,100.0,,
P3224,Diffuser shroud static pressure,PSIA,AERO,PS,11.107967162807064,6.307991554097455,4.7294,100.0,,
P3225,Diffuser shroud static pressure,PSIA,AERO,PS,11.255317155016114,9.201819278853648,4.7394,100.0,,
P3226,Diffuser shroud static pressure,PSIA,AERO,PS,10.037911978593954,345.0168975392909,4.7245,100.0,,
P3227,Diffuser shroud static pressure,PSIA,AERO,PS,9.960924875231214,343.9595316269057,4.7243,100.0,,
P3228,Diffuser shroud static pressure,PSIA,AERO,PS,9.923666925587538,343.4245062058944,4.7241,100.0,,
P3229,Diffuser shroud static pressure,PSIA,AERO,PS,9.862390230060864,343.0289217652471,4.7238,100.0,,
P3230,Diffuser shroud static pressure,PSIA,AERO,PS,9.770680766968082,342.9975256279754,4.723,100.0,,
P3231,Diffuser shroud static pressure,PSIA,AERO,PS,9.702226561465157,343.3583751927593,4.7222,100.0,,
P3232,Diffuser shroud static pressure,PSIA,AERO,PS,9.69793386861346,343.90037402263,4.7221,100.0,,
P3233,Diffuser shroud static pressure,PSIA,AERO,PS,9.729466070139717,344.4599571912244,4.7225,100.0,,
P3234,Diffuser shroud static pressure,PSIA,AERO,PS,9.795293552517965,345.56863560985016,4.7232,100.0,,
P3235,Diffuser shroud static pressure,PSIA,AERO,PS,10.107953294807016,350.02372588379023,4.7246,100.0,,
P3236,Diffuser shroud static pressure,PSIA,AERO,PS,10.60794996688804,355.4618049110749,4.7241,100.0,,
P3237,Diffuser shroud static pressure,PSIA,AERO,PS,11.244786098899349,358.67176740591754,4.7342,100.0,,
P3238,Diffuser shroud static pressure,PSIA,AERO,PS,11.107999032228982,355.66656612250654,4.7294,100.0,,
P3239,Diffuser shroud static pressure,PSIA,AERO,PS,10.60798355249479,351.3947491318394,4.7241,100.0,,
P3250,Diffuser shroud static pressure,PSIA,AERO,PS,9.107949407523078,338.1976000345317,4.7054,100.0,83.32000019184294,
P3251,Diffuser shroud static pressure,PSIA,AERO,PS,9.108014967598594,335.19762500213443,4.7054,100.0,66.65347223408023,
P3252,Diffuser shroud static pressure,PSIA,AERO,PS,9.107979769959966,332.1972209273183,4.7054,100.0,49.98456070732402,
P3253,Diffuser shroud static pressure,PSIA,AERO,PS,9.108037848516002,329.19723961468816,4.7054,100.0,33.317997859378714,
P3254,Diffuser shroud static pressure,PSIA,AERO,PS,9.358018359674231,341.19729560994205,4.7147,100.0,99.9849756107892,
P3255,Diffuser shroud static pressure,PSIA,AERO,PS,9.358001021585752,338.19749171112903,4.4147,100.0,,
P3256,Diffuser shroud static pressure,PSIA,AERO,PS,9.357973764122232,335.1976644754058,4.7147,100.0,,
P3257,Diffuser shroud static pressure,PSIA,AERO,PS,9.608006474290075,347.1976142891501,4.7207,100.0,,
P3258,Diffuser shroud static pressure,PSIA,AERO,PS,9.60796541261468,344.19744137248085,4.7207,100.0,,
P3259,Diffuser shroud static pressure,PSIA,AERO,PS,9.608042858459784,341.1973116365568,4.7207,100.0,,
P3260,Diffuser shroud static pressure,PSIA,AERO,PS,11.108005201655246,352.0666040791221,4.7294,100.0,,
P3261,Diffuser shroud static pressure,PSIA,AERO,PS,11.107960270454695,359.7173964098324,4.7294,100.0,,
P3501,Vaneless space hub static pressure,PSIA,AERO,PS,8.803663483459598,341.1975158289482,5.2663,100.0,99.98619904971235,
P3502,Vaneless space hub static pressure,PSIA,AERO,PS,8.803678250027087,335.1973156290625,5.2663,100.0,66.65175349479158,
P3503,Vaneless space hub static pressure,PSIA,AERO,PS,8.803658993850227,329.197580142181,5.2663,100.0,33.3198896787833,
P3504,Vaneless space hub static pressure,PSIA,AERO,PS,8.803709187609504,323.1974800602436,5.2663,100.0,99.98600033468676,
P3601,Diffuser hub static pressure,PSIA,AERO,PS,9.193829584019928,323.33132245932967,5.2663,0.0,,
P3602,Diffuser hub static pressure,PSIA,AERO,PS,9.104480007666556,323.1970854392262,5.2663,0.0,99.98380799570126,
P3603,Diffuser hub static pressure,PSIA,AERO,PS,9.026284463720383,323.50121882815563,5.2663,0.0,,
P3604,Diffuser hub static pressure,PSIA,AERO,PS,9.00566303222589,324.0702464517269,5.2663,0.0,,
P3605,Diffuser hub static pressure,PSIA,AERO,PS,9.021432250479966,324.6976536864576,5.2663,0.0,,
P3606,Diffuser hub static pressure,PSIA,AERO,PS,9.075129718632123,326.5669675368813,5.2663,0.0,,
P3607,Diffuser hub static pressure,PSIA,AERO,PS,9.357982804536457,333.30369252427647,5.2663,0.0,,
P3608,Diffuser hub static pressure,PSIA,AERO,PS,9.60801566245601,337.43979827613146,5.2663,0.0,,
P3609,Diffuser hub static pressure,PSIA,AERO,PS,10.107982078041095,343.6083276965888,5.2663,0.0,,
P3610,Diffuser hub static pressure,PSIA,AERO,PS,10.60803635928912,348.2789950252982,5.265,0.0,,
P3611,Diffuser hub static pressure,PSIA,AERO,PS,11.272626987530458,351.28918634105537,5.2663,0.0,,
P3612,Diffuser hub static pressure,PSIA,AERO,PS,9.026242228635349,341.50106533013684,5.2663,0.0,,
P3613,Diffuser hub static pressure,PSIA,AERO,PS,9.104494204512406,341.19697012696673,5.2663,0.0,,
P3614,Diffuser hub static pressure,PSIA,AERO,PS,9.193826163790566,341.33129291262986,5.2663,0.0,0.7294050701659671,
P3615,Diffuser hub static pressure,PSIA,AERO,PS,9.242247720657568,341.8158794665804,5.2663,0.0,,
P3616,Diffuser hub static pressure,PSIA,AERO,PS,9.261254070588928,342.42440541936145,5.2663,0.0,,
P3617,Diffuser hub static pressure,PSIA,AERO,PS,9.324476231939247,344.23230692087606,5.2663,0.0,,
P3618,Diffuser hub static pressure,PSIA,AERO,PS,9.607932088123851,350.1917512306528,5.2663,0.0,,
P3619,Diffuser hub static pressure,PSIA,AERO,PS,10.108021397385343,357.18934614344664,5.2663,0.0,,
P3620,Diffuser hub static pressure,PSIA,AERO,PS,10.60799637301974,2.266071637234461,5.265,0.0,,
P3621,Diffuser hub static pressure,PSIA,AERO,PS,11.132756040172625,6.2340108602243305,5.3137,0.0,,
P3622,Diffuser hub static pressure,PSIA,AERO,PS,11.273448994872863,9.286489526491692,5.3636,0.0,,
P3623,Diffuser hub static pressure,PSIA,AERO,PS,10.037911978593954,345.0168975392909,5.2663,0.0,,
P3624,Diffuser hub static pressure,PSIA,AERO,PS,9.960924875231214,343.9595316269057,5.2663,0.0,,
P3625,Diffuser hub static pressure,PSIA,AERO,PS,9.923666925587538,343.4245062058944,5.2663,0.0,,
P3626,Diffuser hub static pressure,PSIA,AERO,PS,9.862390230060864,343.0289217652471,5.2663,0.0,,
P3627,Diffuser hub static pressure,PSIA,AERO,PS,9.770680766968082,342.9975256279754,5.2663,0.0,,
P3628,Diffuser hub static pressure,PSIA,AERO,PS,9.702226561465157,343.3583751927593,5.2663,0.0,,
P3629,Diffuser hub static pressure,PSIA,AERO,PS,9.69793386861346,343.90037402263,5.2663,0.0,,
P3630,Diffuser hub static pressure,PSIA,AERO,PS,9.729466070139717,344.4599571912244,5.2663,0.0,,
P3631,Diffuser hub static pressure,PSIA,AERO,PS,9.795293552517965,345.56863560985016,5.2663,0.0,,
P3632,Diffuser hub static pressure,PSIA,AERO,PS,10.107953294807016,350.02372588379023,5.2663,0.0,,
P3633,Diffuser hub static pressure,PSIA,AERO,PS,10.60794996688804,355.4618049110749,5.265,0.0,,
P3634,Diffuser hub static pressure,PSIA,AERO,PS,11.26753223469984,358.80225703114763,5.3611,0.0,,
P3635,Diffuser hub static pressure,PSIA,AERO,PS,11.133225017936178,355.5947578683913,5.3138,0.0,,
P3636,Diffuser hub static pressure,PSIA,AERO,PS,10.60798355249479,351.3947491318394,5.265,0.0,,
P3650,Diffuser hub static pressure,PSIA,AERO,PS,9.108014967598594,335.19762500213443,5.2663,0.0,66.65347223408023,
P3651,Diffuser hub static pressure,PSIA,AERO,PS,9.108037848516002,329.19723961468816,5.2663,0.0,33.317997859378714,
P3652,Diffuser hub static pressure,PSIA,AERO,PS,9.358018359674231,341.19729560994205,5.2663,0.0,,
P3653,Diffuser hub static pressure,PSIA,AERO,PS,9.357973764122232,335.1976644754058,5.2663,0.0,,
P3654,Diffuser hub static pressure,PSIA,AERO,PS,9.608006474290075,347.1976142891501,5.2663,0.0,,
P3655,Diffuser hub static pressure,PSIA,AERO,PS,9.608042858459784,341.1973116365568,5.2663,0.0,,
P3656,Diffuser hub static pressure,PSIA,AERO,PS,11.108005201655246,352.0666040791221,5.3071,0.0,,
P3657,Diffuser hub static pressure,PSIA,AERO,PS,11.107960270454695,359.7173964098324,5.3071,0.0,,
P6100,Bend shroud static pressure,PSIA,AERO,PS,11.795685343802624,259.10577748400044,4.8405,100.0,25.0,50.0
P6101,Bend shroud static pressure,PSIA,AERO,PS,11.795756220353148,253.10574403969255,4.8405,100.0,25.0,50.0
P6102,Bend shroud static pressure,PSIA,AERO,PS,11.795747214144596,247.1058772380791,4.8405,100.0,25.0,50.0
P6103,Bend shroud static pressure,PSIA,AERO,PS,12.17412130217208,263.105893188645,5.2889,100.0,58.3,50.0
P6104,Bend shroud static pressure,PSIA,AERO,PS,12.174091855247354,257.10589397664273,5.2889,100.0,58.3,50.0
P6105,Bend shroud static pressure,PSIA,AERO,PS,12.174058692974992,251.10608536440824,5.2889,100.0,58.3,50.0
P6106,Bend shroud static pressure,PSIA,AERO,PS,12.279648180627976,267.1059044385328,5.8826,100.0,91.6,50.0
P6107,Bend shroud static pressure,PSIA,AERO,PS,12.279735543162158,261.1059176528695,5.8826,100.0,91.6,50.0
P6108,Bend shroud static pressure,PSIA,AERO,PS,12.279656349018891,255.10581608634303,5.8826,100.0,91.6,50.0
P6200,Bend hub static pressure,PSIA,AERO,PS,11.500293504515438,259.10595365772303,5.5091,0.0,25.0,50.0
P6201,Bend hub static pressure,PSIA,AERO,PS,11.500284513002276,253.10580531645437,5.5091,0.0,25.0,50.0
P6202,Bend hub static pressure,PSIA,AERO,PS,11.500251292037056,247.10589800163444,5.5091,0.0,25.0,50.0
P6203,Bend hub static pressure,PSIA,AERO,PS,11.701891644089002,263.10591801167845,5.7982,0.0,58.3,50.0
P6204,Bend hub static pressure,PSIA,AERO,PS,11.70191330851498,257.1058825142828,5.7982,0.0,58.3,50.0
P6205,Bend hub static pressure,PSIA,AERO,PS,11.701962676833318,251.1058967907708,5.7982,0.0,58.3,50.0
P6206,Bend hub static pressure,PSIA,AERO,PS,11.805604280171345,267.10600424168706,6.1343,0.0,91.6,50.0
P6207,Bend hub static pressure,PSIA,AERO,PS,11.80557902095446,261.1061530933939,6.1343,0.0,91.6,50.0
P6208,Bend hub static pressure,PSIA,AERO,PS,11.805559544977104,255.10591094548244,6.1343,0.0,91.6,50.0
P6300,EGV shroud static pressure,PSIA,AERO,PS,12.297001083597577,268.85525439940994,6.487,100.0,91.6,50.0
P6301,EGV shroud static pressure,PSIA,AERO,PS,12.302180356749776,270.9741295962457,7.0965,100.0,91.6,50.0
P6302,EGV shroud static pressure,PSIA,AERO,PS,12.304653522956263,272.3975745234696,7.706,100.0,91.6,50.0
P6303,EGV shroud static pressure,PSIA,AERO,PS,12.304823614339217,273.27990585731834,8.3155,100.0,91.6,50.0
P6304,EGV shroud static pressure,PSIA,AERO,PS,12.303283597885567,273.63682887812183,8.925,100.0,91.6,50.0
P6305,EGV shroud static pressure,PSIA,AERO,PS,12.29697110226742,262.8552531368218,6.487,100.0,58.3,50.0
P6306,EGV shroud static pressure,PSIA,AERO,PS,12.30217680331412,264.9739803046813,7.0965,100.0,58.3,50.0
P6307,EGV shroud static pressure,PSIA,AERO,PS,12.304605871380032,266.39758707754936,7.706,100.0,58.3,50.0
P6308,EGV shroud static pressure,PSIA,AERO,PS,12.304869589313004,267.2796446607487,8.3155,100.0,58.3,50.0
P6309,EGV shroud static pressure,PSIA,AERO,PS,12.303283419477909,267.636724205965,8.925,100.0,58.3,50.0
P6310,EGV shroud static pressure,PSIA,AERO,PS,12.296949975095451,256.85530609127284,6.487,100.0,25.0,50.0
P6311,EGV shroud static pressure,PSIA,AERO,PS,12.302176572460665,258.9741827272202,7.0965,100.0,25.0,50.0
P6312,EGV shroud static pressure,PSIA,AERO,PS,12.3046875315873,260.3974166241197,7.706,100.0,25.0,50.0
P6313,EGV shroud static pressure,PSIA,AERO,PS,12.30483131863253,261.27953753272993,8.3155,100.0,25.0,50.0
P6314,EGV shroud static pressure,PSIA,AERO,PS,12.303208900526723,261.63664433153986,8.925,100.0,25.0,50.0
P6315,EGV shroud static pressure,PSIA,AERO,PS,12.301914030345031,273.8426030487635,9.25,100.0,91.67,50.0
P6316,EGV shroud static pressure,PSIA,AERO,PS,12.301885918020863,272.34303436200366,9.25,100.0,83.33,25.0
P6317,EGV shroud static pressure,PSIA,AERO,PS,12.301821339135111,270.8431635731184,9.25,100.0,75.0,0.0
P6318,EGV shroud static pressure,PSIA,AERO,PS,12.301883844354895,269.3437403954091,9.25,100.0,66.67,75.0
P6319,EGV shroud static pressure,PSIA,AERO,PS,12.30185248041936,267.84391583415936,9.25,100.0,58.33,50.0
P6320,EGV shroud static pressure,PSIA,AERO,PS,12.301872410328436,266.3444531033401,9.25,100.0,50.0,25.0
P6321,EGV shroud static pressure,PSIA,AERO,PS,12.30186022112103,264.8445825305138,9.25,100.0,41.67,0.0
P6322,EGV shroud static pressure,PSIA,AERO,PS,12.30189136880992,263.34471290245835,9.25,100.0,33.33,75.0
P6323,EGV shroud static pressure,PSIA,AERO,PS,12.301891003012503,261.84509185331666,9.25,100.0,25.0,50.0
P6324,EGV shroud static pressure,PSIA,AERO,PS,12.301862833327318,260.3457221148217,9.25,100.0,16.66,25.0
P6325,EGV shroud static pressure,PSIA,AERO,PS,12.30185332541402,258.84598947398007,9.25,100.0,8.33,0.0
P6326,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,257.34591501196473,9.25,100.0,0.0,75.0
P6327,EGV shroud static pressure,PSIA,AERO,PS,12.30187430434891,255.84655586254672,9.25,100.0,91.67,50.0
P6328,EGV shroud static pressure,PSIA,AERO,PS,12.298561267481656,271.0183252169501,6.461,100.0,,
P6329,EGV shroud static pressure,PSIA,AERO,PS,12.298534776549603,265.0406972471062,6.461,100.0,,
P6330,EGV shroud static pressure,PSIA,AERO,PS,12.298540024734644,259.06124924052585,6.461,100.0,,
P6331,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,25.11,9.25,100.0,9.777777777777768,4.499999999999993
P6332,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,45.11,9.25,100.0,20.88888888888888,37.83333333333327
P6333,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,64.61,9.25,100.0,29.22222222222221,62.83333333333327
P6334,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,83.61,9.25,100.0,34.77777777777781,79.49999999999994
P6335,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,103.11,9.25,100.0,43.111111111111136,4.499999999999934
P6336,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,122.61,9.25,100.0,51.44444444444447,29.49999999999993
P6337,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,142.11,9.25,100.0,59.777777777777885,54.50000000000017
P6338,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,161.61,9.25,100.0,68.11111111111123,79.50000000000017
P6339,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,181.11,9.25,100.0,76.44444444444454,4.5000000000001705
P6340,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,200.61,9.25,100.0,84.77777777777789,29.50000000000017
P6341,EGV shroud static pressure,PSIA,AERO,PS,12.30186461842269,238.11,9.25,100.0,93.11111111111124,54.50000000000017
