x,r
4.40694,7.16064
4.42541,7.22224
4.44302,7.28409
4.4598,7.34615
4.47576,7.40845
4.49093,7.47093
4.50536,7.5336
4.51904,7.59643
4.53203,7.65941
4.54434,7.72252
4.55602,7.78575
4.56708,7.8491
4.57757,7.91254
4.58753,7.97607
4.59697,8.03967
4.60595,8.10335
4.6145,8.16707
4.62265,8.23086
4.63046,8.29469
4.63794,8.35855
4.64519,8.42245
4.65223,8.48637
4.65902,8.5503
4.6633,8.59066
4.6676,8.63102
4.67553,8.67082
4.68566,8.71009
4.69716,8.74901
4.70994,8.78754
4.72258,8.82611
4.73439,8.86493
4.74544,8.90398
4.75872,8.96449
4.7712,9.02518
4.7826,9.08607
4.7927,9.14719
4.80259,9.20835
4.81199,9.26958
4.8209,9.33089
4.82884,9.39233
4.8356,9.45391
4.84166,9.51556
4.84759,9.57723
4.85365,9.63888
4.85967,9.70054
4.8656,9.76221
4.87094,9.82393
4.87489,9.88575
4.87798,9.94762
4.88064,10.00952
4.88281,10.07143
4.8842,10.13336
4.88502,10.19531
4.88551,10.25726
4.8858,10.31921
4.88593,10.38116
4.88597,10.44311
4.88593,10.50507
4.88623,10.5528
4.887,10.58772
4.88788,10.62263
4.88873,10.65755
4.88948,10.69247
4.89024,10.72738
4.89139,10.76229
4.89294,10.79718
4.89478,10.83206
4.89692,10.86692
4.89942,10.90176
4.90236,10.93656
4.90572,10.97132
4.90945,11.00605
4.91356,11.04074
4.91806,11.07537
4.92293,11.10996
4.92868,11.1444
4.93585,11.17858
4.94418,11.21249
4.95345,11.24617
4.9636,11.27958
4.97469,11.3127
4.98692,11.34541
5.00051,11.37758
5.01505,11.40934
5.03054,11.44064
5.04712,11.47138
5.06493,11.50142
5.084,11.53067
5.10424,11.55914
5.12529,11.587
5.14721,11.61418
5.17007,11.64058
5.19388,11.66613
5.21859,11.69081
5.24409,11.71466
5.27026,11.7378
5.29695,11.76032
5.32407,11.78232
5.35157,11.80385
5.3794,11.82495
5.40768,11.84545
5.43665,11.86494
5.46638,11.88325
5.49673,11.90053
5.52753,11.91699
5.55862,11.9329
5.58994,11.94836
5.62155,11.96321
5.65347,11.97737
5.68564,11.99097
5.71802,12.00407
5.75058,12.0167
5.78334,12.02883
5.81628,12.04041
5.84946,12.05133
5.8829,12.0614
5.91662,12.07049
5.95059,12.07858
5.98477,12.08577
6.01908,12.09227
6.05348,12.09832
6.08791,12.10419
6.12237,12.10991
6.15688,12.11526
6.19146,12.12018
6.22609,12.1247
6.26077,12.12884
6.29549,12.13263
6.33025,12.13608
6.36503,12.13923
6.39984,12.14207
6.43468,12.14464
6.46953,12.14692
6.5044,12.14894
6.53928,12.15073
6.57417,12.15235
6.60906,12.15384
6.64396,12.15522
6.67887,12.15653
6.71377,12.1578
6.74867,12.15906
6.78358,12.16032
6.81848,12.16161
6.85338,12.16295
6.88828,12.16432
6.92318,12.16569
6.95808,12.16705
6.99298,12.1684
7.02789,12.16974
7.06279,12.17106
7.09769,12.17238
7.13259,12.17368
7.1675,12.17497
7.2024,12.17624
7.2373,12.1775
7.27221,12.17875
7.30711,12.17999
7.34202,12.18121
7.44984,12.1818
7.6269,12.1818
7.80395,12.1818
7.981,12.1818
8.15806,12.1818
8.33511,12.1818
8.51216,12.1818
8.68922,12.1818
8.86627,12.1818
9.04332,12.1818
9.22038,12.1818
9.39743,12.1818
9.57448,12.1818
9.75154,12.1818
9.92859,12.1818
10.10564,12.1818
10.28269,12.1818
10.45975,12.1818
10.6368,12.1818
10.81385,12.1818
10.99091,12.1818
11.16796,12.1818
11.34501,12.1818
11.52207,12.1818
11.69912,12.1818
